brand,ticker,sent
Dior,MC.PA,The show closed with the staff of the atelier coming out to accept applause in the absence of their artistic director. (The previous January 2011 presentation of Spring-Summer 2011 haute-couture was the last appearance of Galliano on the Di
Givenchy,MC.PA,"The Gentleman Givenchy men’s wear line was named Givenchy.  2005–2017, Riccardo Tisci [ edit ] The reins for both collections were passed on to Riccardo Tisci in 2005 when he was named artistic director of womenswear."
Givenchy,MC.PA,British designer Sarah Burton was appointed creative director of the house in September of 2024.
Fendi,MC.PA,Karl Lagerfeld joined Fendi in 1965  and became the creative director for the fur and women's ready-to-wear collections (launched in 1977).
Fendi,MC.PA,"From September 2020, the women's collections were entrusted to Kim Jones , former stylist for the Dior men's collection, who was appointed artistic director of couture and womenswear."
Gucci,KER.PA,"Frida Giannini – a Gucci handbag designer since 2002, head of accessories since 2004, and creative director of women's ready-to-wear and accessories since 2005 – was appointed creative director of Gucci in 2006."
Bottega Veneta,KER.PA,Patrizio di Marco was appointed CEO and Tomas Maier creative director.
Bottega Veneta,KER.PA,"In late 2021, Kering appointed Matthieu Blazy , former design director at Bottega Veneta, as the new creative director of the company."
Balenciaga,KER.PA,"Following the death of the couturier, the company was taken over by his nephews before coming under the control of the German chemical and pharmaceutical group Hoechst in 1978.  1986: Revival of the brand [ edit ] In 1986, the fragrance gro"
Balenciaga,KER.PA,"In early October 2015, the brand appointed Demna Gvasalia as its new creative director."
Alexander McQueen,KER.PA,"After his death in 2010, Sarah Burton  became its creative director , a position she held until 2023."
Alexander McQueen,KER.PA,"During his time as head designer, McQueen was awarded the title "" British Designer of the Year "" four times between 1996 and 2003;  he was also appointed a CBE and named International Designer of the Year by the Council of Fashion Designers"
Alexander McQueen,KER.PA,"Sarah Burton, who was McQueen's deputy for 14 years, became the creative director for the Alexander McQueen label after his death."
Versace,CPRI,"Donatella Versace, 1997–2025 [ edit ] After the murder of Gianni Versace in 1997, his sister Donatella, formerly vice-president, took over as creative director, and his older brother Santo Versace became CEO."
Calvin Klein,PVH,"Licensees [ edit ] As of 2012, the top three licensees were: Warnaco Group – 40% of license royalties, which is ""around $100 million""  Coty – 12% of license royalties  G-III Apparel Group – 14% of license royalties  Designers [ edit ] When "
Calvin Klein,PVH,"Italo Zucchelli , a former Jil Sander and Romeo Gigli designer, had collaborated with Calvin Klein for six seasons before he became head designer and Men's Creative Director of the Calvin Klein Collection menswear line in spring 2004."
